Area,Price,City,BHK,Age of House
750,75000,Modasa,2,5
800,80000,Himmatnagar,2,10
850,85000,Gandhinagar,2,15
900,90000,Ahmedabad,3,20
950,95000,Surat,3,25
1000,100000,Vadodara,3,30
1100,110000,Rajkot,3,35
1200,120000,Bhavnagar,4,40
1300,130000,Jamnagar,4,45
1400,140000,Junagadh,4,50
1500,150000,Anand,4,55
1600,160000,Nadiad,5,60
1700,170000,Mehsana,5,65
1800,180000,Patan,5,70
1900,190000,Surendranagar,5,75
2000,200000,Bhuj,5,80
2200,220000,Gondal,6,85
2400,240000,Morbi,6,90
2600,260000,Porbandar,6,95
2800,280000,Veraval,6,100
